YEAR,TEAM,MONTH,DATE,DAY,WDR,R,ER,OP
2011,토트넘,8,23,화,패 ,0,3,맨유
2011,토트넘,8,28,일 ,패 ,1,5,맨시티
2011,토트넘,9,10,토 ,승,2,0,울버햄튼
2011,토트넘,9,18,일 ,승,4,0,리버풀
2011,토트넘,9,24,토 ,승,2,1,위건
2011,토트넘,10,3,월 ,승,2,1,아스널
2011,토트넘,10,17,월 ,무 ,2,2,뉴캐슬
2011,토트넘,10,23,일 ,승,2,1,블랙번
2011,토트넘,10,31,월 ,승,3,1,QPR
2011,토트넘,11,7,월 ,승,3,1,풀럼
2011,토트넘,11,22,화,승,2,0,아스톤 빌라
2011,토트넘,11,27,일 ,승,3,1,웨스트브롬
2011,토트넘,12,4,일 ,승,3,0,볼턴
2011,토트넘,12,12,월 ,패 ,1,2,스토크시티
2011,토트넘,12,19,월 ,승,1,0,선덜랜드
2011,토트넘,12,23,금,무 ,1,1,첼시
2011,토트넘,12,28,수 ,승,2,0,노리치
2012,토트넘,1,1,일 ,무 ,1,1,스완지
2012,토트넘,1,4,수 ,승,1,0,웨스트브롬
2012,토트넘,1,12,목,승,2,0,에버턴
2012,토트넘,1,15,일 ,무,1,1,울버햄튼
2012,토트넘,1,22,일 ,패 ,2,3,맨시티
2012,토트넘,2,1,수 ,승,3,1,위건
2012,토트넘,2,7,화,무,0,0,리버풀
2012,토트넘,2,12,일 ,승,5,0,뉴캐슬
2012,토트넘,2,26,일 ,패 ,2,5,아스널
2012,토트넘,3,5,월 ,패 ,1,3,맨유
2012,토트넘,3,11,일 ,패 ,0,1,에버턴
2012,토트넘,3,22,목,무,1,1,스토크시티
2012,토트넘,3,24,토 ,무,0,0,첼시
2012,토트넘,4,2,월 ,승,3,1,스완지
2012,토트넘,4,7,토 ,무,0,0,선덜랜드
2012,토트넘,4,9,월 ,패 ,1,2,노리치
2012,토트넘,4,22,일 ,패 ,0,1,QPR
2012,토트넘,4,30,월 ,승,2,0,블랙번
2012,토트넘,5,3,목,승,4,1,볼턴
2012,토트넘,5,6,일 ,무,1,1,아스톤 빌라
2012,토트넘,5,13,일 ,승,2,0,풀럼
2012,토트넘,8,19,일 ,패 ,1,2,뉴캐슬
2012,토트넘,8,25,토 ,무,1,1,웨스트브롬
2012,토트넘,9,1,토 ,무,1,1,노리치
2012,토트넘,9,17,월 ,승,3,1,레딩
