시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-08-14 4:00,브랜트포드,2,0,8,3,35%,2,5,1,12,0,0,아스널,0,2,17,5,65%,5,13,1,8,0,0
2022-08-14 20:30,맨유,5,1,15,9,49%,5,12,5,11,1,0,리즈,1,5,8,3,51%,4,13,3,9,2,0
2022-08-14 23:00,번리,1,2,9,6,45%,7,6,1,7,2,0,브라이튼,2,1,8,6,55%,6,8,0,6,1,0
2022-08-14 23:00,첼시,3,0,11,6,67%,5,12,0,15,0,0,팰리스,0,3,3,1,33%,2,15,1,11,0,0
2022-08-14 23:00,에버턴,3,1,10,6,49%,6,15,0,13,2,0,사우샘프턴,1,3,10,6,51%,8,13,0,15,0,0
2022-08-14 23:00,레스터 ,1,0,7,7,57%,5,12,5,6,1,0,울버햄튼,0,1,9,3,43%,4,11,4,8,2,0
2022-08-14 23:00,왓포드,3,2,11,7,39%,2,15,0,18,3,0,아스톤 빌라,2,3,6,2,61%,4,18,2,13,1,0
2022-08-15 1:30,노리치,0,3,8,2,49%,3,15,2,4,1,0,리버풀,3,0,8,6,51%,11,6,0,15,1,0
2022-08-15 22:00,뉴캐슬,2,4,8,3,45%,7,55,1,4,1,0,웨스트햄,4,2,11,7,55%,6,5,2,3,0,0
2022-08-16 0:30,토트넘,1,0,6,2,35%,3,9,3,11,2,0,맨시티,0,1,11,3,65%,11,14,1,8,1,0
2022-08-21 20:30,리버풀,2,0,17,9,63%,8,19,3,6,0,0,번리,0,2,8,3,37%,4,9,7,12,0,0
2022-08-21 23:00,아스톤빌라,2,0,11,3,47%,3,20,3,8,3,0,뉴캐슬,0,2,6,2,53%,4,11,2,18,4,0
2022-08-21 23:00,팰리스,0,0,7,2,52%,3,11,1,15,3,0,브랜트포드,0,0,8,3,48%,5,13,2,9,1,0
2022-08-21 23:00,리즈,2,2,10,4,70%,8,12,0,6,5,0,에버턴,2,2,13,8,30%,5,6,0,13,4,0
2022-08-21 23:00,맨시티,5,0,11,5,65%,6,10,2,13,1,0,노리치,0,5,1,0,35%,1,15,3,7,0,0
2022-08-22 1:30,브라이튼,2,0,8,3,65%,7,7,1,11,4,0,왓포드,0,2,5,2,35%,2,12,1,6,0,0
2022-08-22 22:00,사우샘스턴,1,1,5,3,36%,7,12,0,12,2,0,맨유,1,1,12,4,64%,7,12,2,10,3,0
2022-08-22 22:00,울버햄튼,0,1,11,6,59%,5,7,2,9,1,0,토트넘,1,0,4,4,41%,4,11,0,7,4,0
2022-08-23 0:30,아스널,0,2,5,3,32%,9,4,5,10,3,0,첼시,2,0,10,5,68%,8,15,0,4,0,0
2022-08-24 4:00,웨스트햄,4,1,16,7,37%,10,8,2,8,0,0,레스터,1,4,3,1,63%,0,10,0,8,1,1
2022-08-28 20:30,맨시티,5,0,14,11,81%,14,10,1,5,1,0,아스널,0,5,1,0,19%,0,6,3,7,2,1
2022-08-28,아스톤빌라,1,1,5,5,47%,3,16,1,15,3,0,브렌트포드,1,1,3,2,53%,2,16,2,14,3,0
2022-08-28 23:00,브라이튼,0,2,7,3,65%,4,9,1,7,1,0,에버턴,2,0,10,6,35%,5,8,0,9,2,0
2022-08-28 23:00,뉴캐슬,2,2,4,2,37%,4,7,5,11,2,0,사우샘프턴,2,2,13,5,63%,4,16,0,6,3,0
2022-08-28 23:00,노리치,1,2,9,4,44%,9,11,2,8,2,0,레스터,2,1,9,3,56%,9,10,2,9,1,0
2022-08-28 23:00,웨스트햄,2,2,6,4,43%,5,9,1,10,1,0,팰리스,2,2,5,2,57%,3,11,2,7,0,0
2022-08-29 1:30,리버풀,1,1,14,7,65%,12,6,0,12,0,0,첼시,1,1,4,3,35%,3,13,2,4,2,1
Aug-22,번리,1,1,10,4,35%,5,11,2,13,4,0,리즈,1,1,6,2,65%,5,15,2,9,2,0
2022-08-29 22:00,토트넘,1,0,12,7,57%,10,15,2,8,3,0,왓포드,0,1,5,2,43%,3,10,1,14,3,0
2022-08-29 22:00,울버햄튼,0,1,13,6,44%,5,12,5,7,3,0,맨유,1,0,6,3,56%,7,12,3,9,4,0
2022-09-11 20:30,팰리스,3,0,12,4,62%,8,15,0,13,2,0,토트넘,0,3,2,1,38%,2,13,0,15,2,1
2022-09-11 23:00,아스널,1,0,15,5,52%,8,11,2,9,2,0,노리치,0,1,4,1,48%,4,11,0,11,2,0
2022-09-11 23:00,브렌트포드,0,1,6,1,43%,1,14,0,9,3,0,브라이튼,1,0,3,2,57%,5,9,2,12,2,0
2022-09-11 23:00,레스터 ,0,1,4,1,34%,5,15,2,4,1,0,맨시티,1,0,14,7,66%,8,6,4,11,2,0
2022-09-11 23:00,맨유,4,1,13,6,70%,7,5,1,9,1,0,뉴캐슬,1,4,9,4,30%,3,10,3,2,0,0
2022-09-11 23:00,사우샘스턴,0,0,6,1,42%,5,14,0,10,3,0,웨스트햄,0,0,4,2,58%,4,10,2,12,2,1
2022-09-11 23:00,왓포드,0,2,5,2,44%,6,15,1,15,3,0,울버햄튼,2,0,10,5,56%,8,16,2,13,3,0
2022-09-12 1:30,첼시,3,0,10,4,61%,4,12,2,11,1,0,아스톤 빌라,0,3,10,6,39%,11,13,1,11,4,0
2022-09-13 0:30,리즈,0,3,8,4,45%,2,12,2,9,2,1,리버풀,3,0,11,7,55%,11,11,4,8,1,0
2022-09-17 4:00,에버턴,3,1,10,6,50%,4,8,2,3,1,0,번리,1,3,8,5,50%,6,5,2,6,1,0
2022-09-18 4:00,뉴캐슬,1,1,17,7,39%,4,12,1,9,2,0,리즈,1,1,21,9,61%,5,10,1,11,2,0
2022-09-18 20:30,울버햄튼,0,2,6,0,62%,4,9,2,10,4,0,브렌트포드,2,0,4,2,38%,2,13,2,7,3,1
2022-09-18 23:00,번리,0,1,10,3,42%,8,10,4,9,2,0,아스널,1,0,7,4,58%,3,13,2,8,1,0
2022-09-18 23:00,리버풀,3,0,14,10,61%,10,14,1,17,3,0,팰리스,0,3,6,3,39%,5,18,3,11,1,0
2022-09-18 23:00,맨시티,0,0,5,0,63%,8,12,4,5,0,0,사우샘프턴,0,0,2,2,37%,5,9,0,12,2,0
