YEAR,MONTH,DATE,DAY,WDL,R,ER,OP
2008,3,29,토,승,11,1,한화
2008,3,30,일,승,9,8,한화
2008,4,1,화,승,8,4,SK
2008,4,2,수,승,6,2,SK
2008,4,3,목,패,0,5,SK
2008,4,4,금,승,6,4,LG
2008,4,5,토,패,3,5,LG
2008,4,6,일,승,7,0,LG
2008,4,8,화,승,9,5,삼성
2008,4,10,목,패,0,2,삼성
2008,4,11,금,승,7,3,KIA
2008,4,12,토,승,8,4,KIA
2008,4,13,일,승,4,3,KIA
2008,4,15,화,패,4,10,두산
2008,4,18,금,승,9,2,넥센
2008,4,19,토,승,5,2,넥센
2008,4,20,일,패,4,12,넥센
2008,4,23,수,패,2,5,SK
2008,4,24,목,패,1,2,SK
2008,4,25,금,승,4,3,삼성
2008,4,26,토,패,3,4,삼성
2008,4,27,일,패,3,17,삼성
2008,4,29,화,승,8,0,LG
2008,4,30,수,패,3,4,LG
2008,5,1,목,승,8,5,LG
2008,5,3,토,패,2,4,KIA
2008,5,5,월,승,6,3,KIA
2008,5,6,화,패,3,4,한화
2008,5,7,수,패,3,6,한화
2008,5,8,목,패,3,5,한화
2008,5,9,금,승,9,2,두산
2008,5,10,토,승,5,3,두산
2008,5,11,일,패,1,4,두산
2008,5,13,화,승,4,1,삼성
2008,5,14,수,패,3,5,삼성
2008,5,15,목,패,3,4,삼성
2008,5,16,금,패,6,7,넥센
2008,5,17,토,승,9,2,넥센
2008,5,18,일,패,1,2,넥센
2008,5,20,화,패,2,3,KIA
2008,5,21,수,승,6,5,KIA
2008,5,22,목,승,6,2,KIA
2008,5,23,금,승,9,3,SK
2008,5,24,토,승,7,3,SK
2008,5,25,일,승,7,5,SK
2008,5,27,화,승,8,7,한화
2008,5,29,목,패,1,4,한화
2008,5,30,금,패,4,8,넥센
2008,5,31,토,승,11,2,넥센
2008,6,1,일,승,8,3,넥센
2008,6,3,화,승,2,1,두산
2008,6,5,목,승,2,1,두산
2008,6,6,금,패,2,5,SK
2008,6,7,토,패,0,2,SK
2008,6,8,일,패,1,3,SK
2008,6,10,화,패,2,5,두산
2008,6,11,수,패,4,5,두산
2008,6,12,목,패,4,9,두산
2008,6,13,금,승,3,2,넥센
2008,6,14,토,승,8,2,넥센
2008,6,15,일,승,6,3,넥센
2008,6,17,화,승,9,4,한화
2008,6,19,목,패,8,9,한화
2008,6,20,금,승,4,1,LG
2008,6,21,토,승,9,3,LG
2008,6,22,일,승,10,0,LG
2008,6,24,화,패,5,9,SK
2008,6,25,수,패,2,3,SK
2008,6,26,목,패,1,3,SK
2008,6,27,금,패,2,6,KIA
2008,6,29,일,승,5,4,KIA
2008,7,1,화,패,3,7,삼성
2008,7,3,목,승,11,3,삼성
2008,7,4,금,승,7,0,LG
2008,7,5,토,패,2,6,LG
2008,7,6,일,승,4,1,LG
2008,7,8,화,패,2,4,넥센
2008,7,9,수,패,4,9,넥센
2008,7,10,목,승,1,0,넥센
2008,7,11,금,패,3,8,두산
2008,7,12,토,패,0,1,두산
2008,7,13,일,패,2,3,두산
2008,7,15,화,패,2,3,KIA
2008,7,16,수,패,1,4,KIA
2008,7,17,목,승,3,2,KIA
2008,7,18,금,패,3,4,LG
2008,7,22,화,패,3,6,SK
2008,7,23,수,패,6,7,SK
2008,7,25,금,승,5,1,한화
2008,7,26,토,패,3,5,한화
2008,7,27,일,승,9,2,한화
2008,7,29,화,승,4,3,두산
2008,7,30,수,승,9,3,두산
2008,7,31,목,승,9,6,두산
2008,8,26,화,승,11,4,한화
